20111104T014428.936763,1,14,-16.3932,-9.17562,1.50639,3.65295,18.8462,32487
20111104T014428.936786,120,14,-16.1817,-9.1574,1.48947,3.65766,18.6522,32542
20111104T014428.936795,1,26,-16.2069,-9.21899,0.204248,3.65987,18.646,32563
20111104T014428.936902,119,14,-16.0254,-9.20224,1.47953,3.66395,18.5382,32594
20111104T014428.936924,1,12,-16.2968,-9.1933,0.858971,3.6563,18.7302,32645
20111104T014428.936926,45,14,-15.914,-9.27159,1.47412,3.67023,18.4762,32648
20111104T014428.936949,84,14,-15.7474,-9.30741,1.46313,3.67651,18.3502,32703
20111104T014428.936972,85,14,-15.6118,-9.35998,1.45528,3.6828,18.2602,32759
20111104T014428.936994,1,12,-16.1241,-9.50087,0.859184,3.67515,18.7342,32813
20111104T014428.936996,60,14,-15.4659,-9.405,1.44639,3.68908,18.1582,32816
20111104T014428.936996,1,15,-16.446,-9.18644,1.41475,3.64992,18.8903,32818
20111104T014428.937017,1,12,-16.208,-9.68822,0.868123,3.68143,18.9022,32869
20111104T014428.937019,127,14,-15.3336,-9.45693,1.43889,3.69536,18.0722,32873
20111104T014428.937020,106,15,-16.1988,-9.18266,1.39684,3.65621,18.6723,32875
20111104T014428.937028,1,26,-15.3995,-9.54466,0.194562,3.69757,18.118,32894
20111104T014428.937028,1,27,-16.2606,-9.27842,0.100416,3.65903,18.7213,32896
20111104T014428.937194,1,12,-16.2288,-9.80484,0.872273,3.68614,18.9802,32925
20111104T014428.937195,104,14,-15.2145,-9.48263,1.43121,3.70007,17.9842,32929
20111104T014428.937196,136,15,-16.0757,-9.21339,1.38928,3.66092,18.5803,32931
20111104T014428.937204,1,26,-16.7532,-10.4955,0.224869,3.70228,19.77,32951
20111104T014428.937208,1,0,-15.3447,-9.3641,2.05509,3.69065,18.0928,32959
20111104T014428.937217,1,12,-15.4606,-9.47281,0.82811,3.69242,18.1502,32982
20111104T014428.937218,1,13,-16.3569,-9.19655,0.756519,3.6527,18.7797,32984
20111104T014428.937219,138,14,-15.0756,-9.52792,1.42301,3.70636,17.8902,32986
20111104T014428.937219,90,15,-15.9348,-9.26621,1.38139,3.6672,18.4843,32988
20111104T014428.937232,142,0,-15.2687,-9.44986,2.05266,3.69693,18.0728,33016
20111104T014428.937241,1,12,-15.433,-9.58983,0.830131,3.69871,18.1882,33038
20111104T014428.937242,80,14,-14.9601,-9.58692,1.41726,3.71264,17.8242,33041
20111104T014428.937243,52,15,-15.7715,-9.30448,1.37136,3.67348,18.3623,33043
20111104T014428.937255,42,0,-15.13,-9.49592,2.04127,3.70321,17.9788,33070
20111104T014428.937256,1,1,-15.8249,-9.18619,1.99119,3.66643,18.4054,33072
20111104T014428.937264,1,12,-15.4822,-9.75593,0.837049,3.70499,18.3182,33093
20111104T014428.937265,81,14,-14.8177,-9.62744,1.40871,3.71892,17.7262,33096
20111104T014428.937266,146,15,-15.6357,-9.35742,1.36397,3.67977,18.2723,33098
20111104T014428.937278,64,0,-14.983,-9.53527,2.02867,3.7095,17.8748,33125
20111104T014428.937279,136,1,-15.7669,-9.28544,1.99119,3.67271,18.4054,33127
20111104T014428.937287,36,12,-15.5063,-9.90796,0.842476,3.71127,18.4202,33148
20111104T014428.937288,1,13,-16.1479,-9.48403,0.75471,3.67155,18.7417,33150
20111104T014428.937289,72,14,-14.6772,-9.66765,1.40034,3.72521,17.6302,33152
20111104T014428.937289,95,15,-15.522,-9.42243,1.35871,3.68605,18.2083,33154
20111104T014428.937291,1,18,-16.2937,-9.10424,1.29604,3.65222,18.7092,33159
20111104T014428.937302,157,0,-14.8461,-9.57962,2.01753,3.71578,17.7828,33182
20111104T014428.937302,74,1,-15.6041,-9.32229,1.97708,3.679,18.2834,33184
20111104T014428.937310,32,12,-15.5811,-10.0944,0.851202,3.71756,18.5842,33205
20111104T014428.937311,1,13,-16.2116,-9.65879,0.761566,3.67784,18.8857,33207
20111104T014428.937312,169,14,-14.5284,-9.70094,1.39109,3.73149,17.5242,33209
20111104T014428.937313,117,15,-15.3606,-9.45719,1.34885,3.69233,18.0883,33211
20111104T014428.937315,129,18,-16.2119,-9.19264,1.2939,3.65851,18.6812,33216
20111104T014428.937319,1,24,-15.9691,-10.425,-0.42087,3.72102,19.0749,33228
20111104T014428.937321,1,26,-16.9744,-11.3926,0.237233,3.7337,20.444,33232
20111104T014428.937321,1,27,-15.4045,-9.54429,0.0927798,3.69516,18.1213,33234
20111104T014428.937324,1,30,-16.2584,-9.26425,0.0301042,3.66061,18.7121,33239
20111104T014428.937455,78,0,-14.7593,-9.62232,2.01147,3.72049,17.7328,33243
20111104T014428.937456,63,1,-15.4869,-9.35165,1.96714,3.68371,18.1974,33245
20111104T014428.937464,42,12,-15.652,-10.2455,0.858758,3.72227,18.7262,33266
20111104T014428.937465,1,13,-16.2789,-9.80297,0.767852,3.68255,19.0177,33268
20111104T014428.937465,101,14,-14.461,-9.75478,1.38882,3.7362,17.4982,33270
20111104T014428.937466,91,15,-15.265,-9.49794,1.34392,3.69705,18.0283,33272
20111104T014428.937468,144,18,-16.0716,-9.21329,1.28531,3.66322,18.5692,33277
20111104T014428.937474,1,26,-16.8494,-11.4242,0.235656,3.73841,20.358,33291
20111104T014428.937478,56,0,-14.6208,-9.66332,2.00008,3.72677,17.6388,33298
20111104T014428.937479,137,1,-15.36,-9.40734,1.95789,3.68999,18.1174,33300
20111104T014428.937481,1,4,-16.2157,-9.06691,1.95075,3.65252,18.68,33305
20111104T014428.937487,30,12,-14.7475,-9.78505,0.805017,3.72855,17.7162,33321
20111104T014428.937488,1,13,-15.4647,-9.44665,0.725855,3.68883,18.1357,33323
20111104T014428.937489,131,14,-14.314,-9.78688,1.37975,3.74249,17.3942,33325
20111104T014428.937489,124,15,-15.1123,-9.53527,1.33488,3.70333,17.9183,33327
20111104T014428.937490,1,16,-16.2174,-9.11906,0.662463,3.65492,18.6167,33329
20111104T014428.937492,82,18,-15.9428,-9.2729,1.27903,3.6695,18.4872,33333
20111104T014428.937497,28,26,-16.8349,-11.5695,0.23694,3.74469,20.428,33348
20111104T014428.937502,159,0,-14.4806,-9.70186,1.98845,3.73306,17.5428,33356
20111104T014428.937503,70,1,-15.2246,-9.45658,1.94748,3.69628,18.0274,33358
20111104T014428.937505,85,4,-16.1705,-9.1755,1.95231,3.65881,18.694,33363
20111104T014428.937511,43,12,-14.8215,-9.96907,0.813743,3.73484,17.8802,33379
20111104T014428.937511,1,13,-15.4611,-9.57829,0.728997,3.69512,18.2017,33381
